Trader Address,Trader Name,Account Value,Trading Volume (1d),Trading Volume (7d),Trading Volume (1m),Trading Volume (All time),PNL (1d),PNL (7d),PNL (1m),PNL (All time)
0xd87a9fc25130c68c3ea25437c34e0b9317cd7a3d,,9799267.991,0,0,0,237.88,909616.7381,105826.7871,0,2211671.431
0xf545003323da8419ce95dd4137ec90577d420ea1,,9540381.208,0,0,21121881.02,173312945.3,891055.1437,0,0,0
0x6dbde1a1e0f199b0252e593a422b9340af03075a,,10361534.56,0,209267.24,1413509.2,33237840.27,886570.8698,209646.1902,-92082.61279,13054174.34
0x0cda7d72834bb6662ffa77cf8adf99eaea239302,,9810612.013,0,0,0,0,885655.2815,0,0,2226433.993
0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,11449650.32,0,0,24967041.58,40838473.49,883980.2929,57048.50454,0,0
0xcbcbc9e34f050489c812d742df5ca77b48c11064,,8328337.425,0,0,0,208164.98,881454.357,61561.12672,0,6130221.385
0x25cd302e37a69d70a6ef645daea5a7de38c66e2a,,12675922.52,6816798.43,7704488.78,86651010.16,344533105.1,869616.8026,21310.18099,-1940878.441,9036986.027
0x6b40d2fc89c9672efd71b5b6b11bcd5f3673afe7,,8131014.3,0,0,0,0,866618.647,0,0,7200048.01
0xfc667adba8d4837586078f4fdcdc29804337ca06,,14990858.35,64588208.28,249230430.6,809614187,809616382.6,857229.8037,-1546869.494,2189249.014,2189245.735
0xc2cb60662017a1da2562e9cccea9df74d9d8edf9,,8718682.503,0,2273300.15,5935575.83,195010886.9,857133.2606,108449.0018,0,-584337.4267
0x0ed92cffa284388ef38f97f56e6b2ceb6e9c14f8,,7865077.468,0,0,0,0,831634.0796,232907.7386,0,1471876.978
0xc15dc0b4223b05588a257e48ed129fb59c6eb7e3,,7689777.269,0,0,0,0,814180.2336,59331.69955,0,3971727.499
0x05dc811ddcd793cc5204ba3fc4ae665768938657,,8892276.172,0,0,0,0,802773.4297,0,0,2093511.592
0xb1c3f6f0c1aefb25ec825ac8e0ba517a976285e3,,7958386.697,0,0,0,0,800047.7314,0,0,1919250.927
0x939f95036d2e7b6d7419ec072bf9d967352204d2,,12094042.08,2890004.98,17416446.23,130798878.8,1451035884,792548.6013,443149.7623,13815053.1,34359159.75
0xd9c6017fa1ba09b42dd161e660aa13e884c9398b,,8750275.165,0,0,0,557.82,789396.712,0,0,1763096.875
0xa2d1dd0f09239349354b662f75fbd81f3dbc824e,,8996150.258,0,0,61916.25,77730553.67,789220.4996,47011.83042,91059.37713,7071152.188
0x13d032655aca891fad353e19424d2a087eccfa8a,,8895119.372,0,52203.44,392624.95,20983730.91,788079.3905,1159.541913,3045.732816,1215762.272
0x718d8fd9e566b802399ceafb19741c57d4244e8a,,10385939.44,0,0,0,0,782725.9847,72957.34289,0,2418479.015
0x17f231e2fb8209fcaaebe44753a6abb0c996c984,,10333995.6,0,0,0,0,778231.7664,68221.61588,0,0
0x807a2e2e469df84b299da5f90f15dda4380daca1,,9082740.743,0,1952835.73,7967242.22,46972985.06,774681.4173,0,-39989.25,21389105.67
0x35e7771e1b64f8b5c1c9efa82e2242aecd4153b1,,7301304.287,0,0,0,0,772003.3529,215954.9013,0,0
0xbbbc35dfac3a00a03a8fde3540eca4f0e15c5e64,,7326015.651,0,0,0,53747353.14,771447.4099,214270.1914,0,19803964.05
0x8d0e342e0524392d035fb37461c6f5813ff59244,,13904975.08,27169060.12,114403657.9,1723557432,8646381450,756728.4582,830993.5015,-5798552.759,-5573594.941
0x77eeda199553e33b246e4b4666849b9ad0972902,,4629114.119,0,10817.12,284589779,1162194090,755136.8193,463520.0591,-6513984.299,-8349365.644
0xe9f91121e8ec38c2d0fba6dec8bced55b6a42bb7,,7373677.839,0,0,0,0,741238.9027,0,0,0
0x39a3bbe71987f32e115dc807c1138b9a84f32795,,8582464.461,0,0,0,0,732780.4597,0,0,1623674.051
0x81501f4da49c18bb3f69e4abfeb4d2346ac5fce8,,7444491.335,0,0,0,0,732114.6462,69580.33958,0,1739472.565
0xdcac85ecae7148886029c20e661d848a4de99ce2,,15517041.64,55314859.54,286116350,1599693292,27601190865,723950.0469,-264692.6242,-1226019.044,22656461.42
0x6252c94b6321701453bfdd416177360082186b0e,,8565187.974,0,0,0,398828.33,720710.7945,203899.4812,0,1521074.304
0xfb941d2344b72ea9101400392b818173772d0ddf,RTB 2,4570299.308,0,0,280013.21,189575017.2,720467.4149,115984.1676,-1046360.379,1522364.538
0x9f61eab0c9a3c326e6bf19de9050f5eec6af8441,,7163532.345,0,0,0,0,720114.0287,0,0,0
0x50b309f78e774a756a2230e1769729094cac9f20,,1696839.018,0,167106363.1,1889308671,2038309727,712278.2104,-640401.3885,-1484182.262,-2052332.562
0x8196e0648cb16e9151c2920618a58605706b5836,,14042903.81,0,0,0,16259008.41,706810.245,35564.81558,0,27059222.01
0x4044570e13b5184f7eb2709de25a4eb766a4794c,,1951329.55,652590.12,8979599.35,596924498.1,1389607031,706761.502,602902.315,-14746846.74,-18046496.05
0x120ebd61a6cda38818d4c3a25e7d83dcb6912d5d,,6677641.901,0,0,0,0,706090.8454,197795.4399,0,1259900.741
0x9cd695d5a7b0c8c54e9f67a8cc433e0f3972e548,,6628478.548,0,0,0,7165.21,700885.3237,196328.0321,0,2317360.208
0x407ed5d253a595ea8a4d8b2e2f8e9d079f51ca93,,9065653.302,0,0,0,0,700429.5984,48841.62016,0,2059596.192
0xc36e04d7b3330cadf8a1dcb48542beb7a04752b7,,8147108.271,0,0,0,45.27,695586.5652,0,0,1076490.521
0x81196517de1d77ebc8a1951c3ea1a103e732479c,infinitefield.xyz,8589009.906,16122779.35,50635460.22,618865703.3,1.50E+11,692651.915,65844.06876,-232579.2843,6479082.894
0x09b9df1b4872cd45145ae2d7317f9115d87b5941,,4583306.733,0,0,24335822.55,24335822.55,685146.2039,407333.7597,-1606537.074,-1606537.074
0xa1830e8d9f019feb448478a171bb37cc6c4c0482,,11321339.69,0,0,0,725281475.9,682168.5719,43848.38758,0,9463674.277
0xf961e5e6c5276164adb2865b7e80cf82dc04e920,,7529906.44,178795.03,841488.72,2452676.45,174751500.6,676529.5103,139181.6202,2585.681129,6260220.67
0x795cfd1b03eafc11c4ec958b8a94cfc9aa64a242,,4083577.113,12493016.89,28472517.96,378688101.1,2462697701,673301.1716,-421412.0848,-1972418.189,2042528.067
0x10f1d87fbb7617df5641d1c2bcb26f143f43202f,,7452649.091,0,0,139957.64,26718447975,672572.831,0,0,-1825146.549
0x3e56cd2e45607df5ee53d4daec678ae048a0e96f,,6683417.596,0,0,0,66265220.04,671881.5118,0,0,491344.6859
0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,,7335362.057,0,0,0,0,660369.6422,135617.5807,0,0
0xff4cd3826ecee12acd4329aada4a2d3419fc463c,,33954856.78,363603839.9,2126075232,14629466192,1.86E+11,652052.0871,75425.44597,9019645.31,20395971.43
0x071d9fe61ce306aef04b7889780f889f444d7bf7,milady,5316311.29,0,0,35801.99,12575326.3,650255.466,208273.4318,-414598.5839,7761016.23
0x175e7023e8dc93d0c044852685ac33e856b577b4,,6022082.448,0,0,3096643.66,3814292923,632998.1792,-151467.5619,-3696860.032,-656199.1108
0xb38bbe3b0a6f35e20a57bf88f1acd3f1a0ad17ba,,6848336.136,0,0,0,17018696.26,632442.3187,16073.30271,0,6080451.606
0x4ad2f2d6d22fe386e61f44bbf3ff6bad152e87f4,,5934466.167,0,0,0,5085882.93,632176.6465,0,0,838791.4965
0x4cbd339d9969bf8558af38af46bfd299a80b315f,,6777700.862,303800.25,303800.25,303800.25,9682508,631885.7978,0,0,318497.362
0x8319ef53245d8fffe01ae8fb4ad0a22016bdbb42,,5944002.692,0,0,0,134675120.2,628400.8708,175390.5982,0,6708.19
0x70e1929eec76555e99dbc75cbad1c2ac7e7e7bf6,,6181574.912,0,0,0,0,621423.9215,0,0,1481736.292
0x63af859d7b4717bd4d3705f15b6d4caad6cf4b36,,2197052.807,0,0,2250786.89,4319728.15,612317.7435,2197020.291,2243054.7,2600145.287
0xb62a80b0a96a3df1fbc13d5e2a0bd967c997eead,,6758886.476,0,0,0,6939429.48,609752.123,0,0,1054502.936
0x59bbc3c0926889dff3ccbf138894f04c2d325f56,,3391281.776,0,0,6520513.82,6520513.82,598117.2422,474457.5284,976029.3753,976029.3753
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,,8312882.981,0,0,49166112.31,481135287.8,590663.8253,-143822.3547,-4041741.05,-3338727.655
0x55f519cf9e15f52f0f64988b68d1c1c7fb1c8983,,5918036.332,1716709.35,1716709.35,1716709.35,9445373.17,590198.7744,0,0,0
0xa906355beaf1d69a5fe73ce55899c49c6e67916c,ricecooker,9782343.432,48947.37,49942.93,49942.93,425732612.9,590103.3643,0,0,3311305.302
0x1f68cb6b0385844178dd3865e7dc6320c2a88053,,7812454.792,0,0,0,0,588778.0487,54882.66296,0,1427625.372
0x0ad1763dddd2aa9284b3828c19eed0a1960f362b,,7613756.024,1707824.38,43086654.63,59651271.74,78016645.27,586901.9002,495864.1397,447258.5081,1533395.294
0x184d7751999a90dd233589ed6fd12511baa603f7,,5483120.788,0,0,0,314.38,580626.2866,42887.92443,0,2054375.618
0xd7d400ae546d07b414205d0b76b82de5b382283b,,2912703.424,1320000,13117640.84,88561354.1,376927701.3,578833.4874,-71644.71961,-2345266.477,-3854484.309
0x0320e2787d5c62a4a81f219dfb3c5abdf6265362,,6138048.127,0,0,0,106627310.9,578362.8203,35683.89101,0,5715119.257
0xb69fbfd47bcc51c2deb0587bd88f52e1c40238e5,,8320904.415,0,0,0,1190787.83,576316.575,0,0,6879165.105
0xe8176f2b88fa2d74d8cef83db576e2cdd803e968,,5428177.855,0,0,0,2497351.33,574505.6763,40121.83753,0,2930826.505
0x5822bba4db1a7f2307c74c290ac6e050b75436e6,,5476721.119,0,0,0,0,566531.7235,21088.34982,0,0
0xa8cde6a19789e4d7964ce0e3da14aa29291d7275,,1825170.004,118049.29,1574748.38,66815076.48,92516204.29,564156.1971,86733.88874,-653522.778,-919717.23
0x2075c3bb28144346ea127aba54df7d2f58656247,,4685647.818,5155782.55,5366392.73,14877215.94,22421546.19,557410.8256,402538.9087,221329.3742,61474.44957
0x0748e296e5a350ec36c8487a1cea406e1b57d4b2,,5082528.1,3429613.26,9409928.05,37132173.42,544892632.5,554197.1314,308875.318,54566.71857,6516939.04
